date,open,close,volume,high,low
2016/12/30,116.65,115.82,30555900,117.2,115.43
2016/12/29,116.45,116.73,14979680,117.1095,116.4
2016/12/28,117.52,116.76,20686510,118.0166,116.2
2016/12/27,116.52,117.26,18131970,117.8,116.49
2016/12/23,115.59,116.52,14244050,116.52,115.59
2016/12/22,116.35,116.29,26043820,116.51,115.64
2016/12/21,116.8,117.06,23724430,117.4,116.78
2016/12/20,116.74,116.95,21337310,117.5,116.68
2016/12/19,115.8,116.64,27756760,117.38,115.75
2016/12/16,116.47,115.97,44284660,116.5,115.645
2016/12/15,115.38,115.82,46286150,116.73,115.23
2016/12/14,115.04,115.19,33962370,116.2,114.98
2016/12/13,113.84,115.19,43293350,115.92,113.75
2016/12/12,113.29,113.3,26176690,115,112.49
2016/12/09,112.31,113.95,34324350,114.7,112.31
2016/12/08,110.86,112.12,27049830,112.43,110.6
2016/12/07,109.26,111.03,29976030,111.19,109.16
2016/12/06,109.5,109.95,26160560,110.36,109.19
2016/12/05,110,109.11,34113880,110.03,108.25
2016/12/02,109.17,109.9,26481320,110.09,108.85
2016/12/01,110.365,109.49,37034520,110.94,109.03
2016/11/30,111.6,110.52,36151450,112.2,110.27
2016/11/29,110.78,111.46,28507780,112.03,110.07
2016/11/28,111.43,111.57,27054320,112.465,111.39
2016/11/25,111.13,111.79,11475920,111.87,110.95
2016/11/23,111.36,111.23,27420550,111.51,110.33
2016/11/22,111.95,111.8,25931710,112.42,111.4
2016/11/21,110.12,111.73,29164190,111.99,110.01
2016/11/18,109.72,110.06,28310840,110.54,109.66
2016/11/17,109.81,109.95,27623150,110.35,108.83
2016/11/16,106.7,109.99,58724080,110.23,106.6
2016/11/15,106.57,107.11,32230590,107.68,106.1593
2016/11/14,107.71,105.71,50901380,107.809,104.08
2016/11/11,107.12,108.43,34117030,108.87,106.55
2016/11/10,111.09,107.79,57097740,111.09,105.83
2016/11/09,109.88,110.88,59118740,111.32,108.05
2016/11/08,110.31,111.06,24129630,111.72,109.7
2016/11/07,110.08,110.41,32361930,110.51,109.46
2016/11/04,108.53,108.84,30790930,110.25,108.11
2016/11/03,110.98,109.83,26538700,111.46,109.55
2016/11/02,111.4,111.59,28174980,112.35,111.23
2016/11/01,113.46,111.49,43403760,113.77,110.53
2016/10/31,113.65,113.54,26378910,114.23,113.2
2016/10/28,113.87,113.72,36792100,115.21,113.45
2016/10/27,115.39,114.48,31396130,115.86,114.1
2016/10/26,114.31,115.59,66028640,115.7,113.31
2016/10/25,117.95,118.25,46820600,118.36,117.31
2016/10/24,117.1,117.65,23492650,117.74,117
2016/10/21,116.81,116.6,22527690,116.91,116.28
2016/10/20,116.86,117.06,24100150,117.38,116.33
2016/10/19,117.25,117.12,19977160,117.76,113.8
2016/10/18,118.18,117.47,24308210,118.21,117.45
2016/10/17,117.33,117.55,23583810,117.84,116.78
2016/10/14,117.88,117.63,35626020,118.17,117.13
2016/10/13,116.79,116.98,35041820,117.44,115.72
2016/10/12,117.35,117.34,37512930,117.98,116.75
2016/10/11,117.7,116.3,63963010,118.69,116.2
2016/10/10,115.02,116.05,36087910,116.75,114.72
2016/10/07,114.31,114.06,24336440,114.56,113.51
2016/10/06,113.7,113.89,28508710,114.34,113.13
2016/10/05,113.4,113.05,21400410,113.66,112.69
2016/10/04,113.06,113,29707270,114.31,112.63
2016/10/03,112.71,112.52,21634520,113.05,112.28
2016/09/30,112.46,113.05,36340670,113.37,111.8
2016/09/29,113.16,112.18,35850010,113.8,111.8
2016/09/28,113.69,113.95,29608390,114.64,113.43
2016/09/27,113,113.09,24587490,113.18,112.34
2016/09/26,111.64,112.88,29800240,113.39,111.55
2016/09/23,114.42,112.71,52411070,114.79,111.55
2016/09/22,114.35,114.62,31048170,114.94,114
2016/09/21,113.85,113.55,35951900,113.989,112.441
2016/09/20,113.05,113.57,34494150,114.12,112.51
2016/09/19,115.19,113.58,46937190,116.18,113.25
2016/09/16,115.12,114.92,79763890,116.13,114.04
2016/09/15,113.86,115.57,90398170,115.73,113.49
2016/09/14,108.73,111.77,111186900,113.03,108.6
2016/09/13,107.51,107.95,62080160,108.79,107.24
2016/09/12,102.65,105.44,45114590,105.72,102.53
2016/09/09,104.64,103.13,46461610,105.72,103.13
2016/09/08,107.25,105.52,52955310,107.27,105.24
2016/09/07,107.83,108.36,42250480,108.76,107.07
2016/09/06,107.9,107.7,26645130,108.3,107.51
2016/09/02,107.7,107.73,26393770,108,106.82
2016/09/01,106.14,106.73,26675250,106.8,105.62
2016/08/31,105.66,106.1,31639010,106.5699,105.64
2016/08/30,105.8,106,24817940,106.5,105.5
2016/08/29,106.62,106.82,24900130,107.44,106.29
2016/08/26,107.41,106.94,27744300,107.95,106.31
2016/08/25,107.39,107.57,25001730,107.88,106.68
2016/08/24,108.565,108.03,23606240,108.75,107.68
2016/08/23,108.59,108.85,21236850,109.32,108.53
2016/08/22,108.86,108.51,25784420,109.1,107.85
2016/08/19,108.77,109.36,25108890,109.69,108.36
2016/08/18,109.23,109.08,21918340,109.6,109.02
2016/08/17,109.1,109.22,25328680,109.37,108.34
2016/08/16,109.63,109.38,33754680,110.23,109.21
2016/08/15,108.14,109.48,25704330,109.54,108.08
2016/08/12,107.78,108.18,18648700,108.44,107.78
2016/08/11,108.52,107.93,27460070,108.93,107.85
2016/08/10,108.71,108,23839880,108.9,107.76
2016/08/09,108.23,108.81,26296260,108.94,108.01
2016/08/08,107.52,108.37,28010430,108.37,107.16
2016/08/05,106.27,107.48,39546610,107.65,106.18
2016/08/04,105.58,105.87,26781730,106,105.28
2016/08/03,104.81,105.79,30148360,105.84,104.77
2016/08/02,106.05,104.48,33770220,106.07,104
2016/08/01,104.41,106.05,38018910,106.15,104.41
2016/07/29,104.19,104.21,27697970,104.55,103.68
2016/07/28,102.83,104.34,38771840,104.45,102.82
2016/07/27,104.265,102.95,92143920,104.35,102.75
2016/07/26,96.82,96.67,53454620,97.97,96.42
2016/07/25,98.25,97.34,40290580,98.84,96.92
2016/07/22,99.26,98.66,28218240,99.3,98.31
2016/07/21,99.83,99.43,32690080,101,99.13
2016/07/20,100,99.96,26219110,100.46,99.735
2016/07/19,99.56,99.87,23766360,100,99.34
2016/07/18,98.7,99.83,36464530,100.13,98.6
2016/07/15,98.92,98.78,30031410,99.3,98.5
2016/07/14,97.39,98.79,38885980,98.99,97.32
2016/07/13,97.41,96.87,25879680,97.67,96.84
2016/07/12,97.17,97.42,24129530,97.7,97.12
2016/07/11,96.75,96.98,23317990,97.65,96.73
2016/07/08,96.49,96.68,28877500,96.89,96.05
2016/07/07,95.7,95.94,24460850,96.5,95.62
2016/07/06,94.6,95.53,30877540,95.66,94.37
2016/07/05,95.39,94.99,27553750,95.4,94.46
2016/07/01,95.49,95.89,25982080,96.465,95.33
2016/06/30,94.44,95.6,35783320,95.77,94.3
2016/06/29,93.97,94.4,36505420,94.55,93.63
2016/06/28,92.9,93.59,40387960,93.66,92.14
2016/06/27,93,92.04,45595680,93.05,91.5
2016/06/24,92.91,93.4,75219710,94.655,92.65
2016/06/23,95.94,96.1,32042290,96.29,95.25
2016/06/22,96.25,95.55,29124140,96.89,95.35
2016/06/21,94.94,95.91,35407050,96.35,94.676
2016/06/20,96,95.1,34355970,96.57,95.03
2016/06/17,96.62,95.33,60793260,96.65,95.3
2016/06/16,96.45,97.55,31251870,97.75,96.07
2016/06/15,97.82,97.14,29373050,98.41,97.03
2016/06/14,97.32,97.46,31890740,98.475,96.75
2016/06/13,98.69,97.34,37708360,99.12,97.1
2016/06/10,98.53,98.83,31672220,99.3457,98.48
2016/06/09,98.5,99.65,26575570,99.99,98.46
2016/06/08,99.02,98.94,20839950,99.56,98.68
2016/06/07,99.25,99.03,22378380,99.87,98.96
2016/06/06,97.99,98.63,23265200,101.89,97.55
2016/06/03,97.79,97.92,28487570,98.27,97.45
2016/06/02,97.6,97.72,40170200,97.84,96.63
2016/06/01,99.02,98.46,29139100,99.54,98.33
2016/05/31,99.6,99.86,42268040,100.4,98.82
2016/05/27,99.44,100.35,36299460,100.47,99.245
2016/05/26,99.68,100.41,56293490,100.73,98.64
2016/05/25,98.67,99.62,38258300,99.74,98.11
2016/05/24,97.22,97.9,35074380,98.09,96.84
2016/05/23,95.87,96.43,37977020,97.19,95.67
2016/05/20,94.64,95.22,31834020,95.43,94.52
2016/05/19,94.64,94.2,30417880,94.64,93.57
2016/05/18,94.16,94.56,42009830,95.21,93.89
2016/05/17,94.55,93.49,46858910,94.7,93.01
2016/05/16,92.39,93.88,61192340,94.39,91.65
2016/05/13,90,90.52,44223040,91.67,90
2016/05/12,92.72,90.34,76183460,92.78,89.47
2016/05/11,93.48,92.51,28641180,93.57,92.46
2016/05/10,93.33,93.42,33653020,93.57,92.11
2016/05/09,93,92.79,32895650,93.77,92.59
2016/05/06,93.37,92.72,43665160,93.45,91.85
2016/05/05,94,93.24,35850220,94.07,92.68
2016/05/04,95.2,94.19,40984160,95.9,93.82
2016/05/03,94.2,95.18,56770080,95.74,93.68
2016/05/02,93.965,93.64,47844490,94.08,92.4
2016/04/29,93.99,93.74,68388840,94.72,92.51
2016/04/28,97.61,94.83,82107120,97.88,94.25
2016/04/27,96,97.82,114436300,98.71,95.68
2016/04/26,103.91,104.35,52979780,105.3,103.91
2016/04/25,105,105.08,27997990,105.65,104.51
2016/04/22,105.01,105.68,33655810,106.48,104.62
2016/04/21,106.93,105.97,31416910,106.93,105.52
2016/04/20,106.64,107.13,30576980,108.09,106.06
2016/04/19,107.88,106.91,32340620,108,106.23
2016/04/18,108.89,107.48,60784920,108.95,106.94
2016/04/15,112.11,109.85,46873670,112.3,109.73
2016/04/14,111.62,112.1,25364920,112.39,111.33
2016/04/13,110.8,112.04,32771760,112.34,110.8
2016/04/12,109.34,110.44,27150570,110.5,108.66
2016/04/11,108.97,109.02,29357940,110.61,108.83
2016/04/08,108.91,108.66,23553790,109.77,108.17
2016/04/07,109.95,108.54,31735810,110.42,108.121
2016/04/06,110.23,110.96,26178840,110.98,109.2
2016/04/05,109.51,109.81,26560420,110.73,109.42
2016/04/04,110.42,111.12,37322930,112.19,110.27
2016/04/01,108.78,109.99,25820460,110,108.2
2016/03/31,109.72,108.99,25763840,109.9,108.88
2016/03/30,108.65,109.56,45547590,110.42,108.6
